County name,Farm per 1000 Cap,Housing Unit Count per Cap,Housing Unit Price,Household Income Mean
Macon County,17.73225398,0.532187896,441,45951
Madison County,2.192013795,0.412677304,465,83528
Marengo County,23.44425238,0.531385048,435,44205
Marion County,20.87098864,0.482760973,380,50714
Marshall County,12.96057011,0.406544892,391,60946
Mobile County,1.593349162,0.449661565,436,58119
Monroe County,22.87873222,0.534869077,355,40225
Montgomery County,2.266549798,0.46835684,445,58153
Morgan County,8.740204943,0.424867549,428,64858
Perry County,39.51289027,0.513149372,344,34368
Pickens County,21.4501837,0.471471796,408,47014
Pike County,16.93636034,0.486776959,385,47961
Randolph County,26.48805653,0.540208957,410,51551
Russell County,4.520964699,0.467919846,371,50046
St. Clair County,6.035469993,0.398929091,419,78993
Shelby County,1.631570249,0.384817497,520,93543
Sumter County,29.80959766,0.545274403,412,37981
Talladega County,6.414746544,0.47047619,420,56249
Tallapoosa County,7.346617853,0.564313619,416,57185
Tuscaloosa County,1.873870288,0.426740792,448,63947
Walker County,6.696291756,0.463224027,387,54509
Washington County,24.70368891,0.517645492,422,60503
Wilcox County,34.0598074,0.538672073,433,42236
Winston County,16.12970799,0.549289874,394,48032
Anchorage Municipality,1.384668508,0.413387431,858,98152
Fairbanks North Star Borough,3.106865646,0.449652979,739,84722
Juneau City and Borough,2.977321677,0.448815406,843,100513
Kenai Peninsula Borough,5.174749833,0.533913384,523,77722
Apache County,82.4537037,0.447546296,241,40338
Cochise County,7.966733719,0.471579751,416,58970
Coconino County,14.17047279,0.481582519,437,69748
Gila County,3.532261942,0.603147597,444,59089
Graham County,8.921027782,0.346429104,398,67326
Greenlee County,10.09564293,0.469925611,302,75239
La Paz County,6.297080979,0.803495763,357,49506
Maricopa County,0.326764098,0.396067618,550,85518
Mohave County,1.209825194,0.528053374,383,55799
Navajo County,29.8495197,0.519978816,340,52752
Pima County,0.44253154,0.440104097,542,67929
Pinal County,1.3972623,0.350018098,478,77588
Santa Cruz County,3.286608062,0.376118635,414,53614
Yavapai County,2.884771817,0.492165087,465,66106
Yuma County,1.802006264,0.42632654,404,60417
Arkansas County,26.2305296,0.541869159,443,60831
Ashley County,17.84919929,0.522742438,387,44481
Baxter County,10.78894134,0.530983328,397,48427
Benton County,5.585167586,0.368496669,508,89879
Boone County,27.84967388,0.450227767,390,54195
Bradley County,15.2994464,0.511524912,371,39565
Calhoun County,25.37313433,0.526226013,439,63654
Carroll County,31.20684894,0.480392157,422,55187
Chicot County,22.54098361,0.551553063,462,39683
Clark County,16.34799235,0.478585086,393,50985
Clay County,32.95068027,0.531391723,393,48500
Cleburne County,21.28986977,0.609880683,426,55979
Cleveland County,28.23401656,0.48839419,420,50509
Columbia County,12.21394842,0.5009081,384,47363
Conway County,31.69638689,0.451918588,404,51212
Craighead County,3.392259089,0.414174982,429,57615
Crawford County,12.2875775,0.409730476,406,60362
Crittenden County,5.296678318,0.458194841,387,54271
Cross County,15.80832407,0.468136347,413,47012
Dallas County,14.6477946,0.574391047,361,44694
Desha County,19.37796725,0.563123728,417,36064
Drew County,15.3528196,0.489636847,432,41071
Faulkner County,8.585908473,0.401653357,487,65071
Franklin County,38.7808484,0.440748323,359,51919
Fulton County,56.91056911,0.495616133,347,38941
Garland County,3.133070409,0.526215691,425,55409
Grant County,13.47999569,0.426345304,394,72512
Greene County,10.56938288,0.413825435,409,56793
Hempstead County,32.55692227,0.504475268,364,47654
Hot Spring County,15.09921052,0.428031099,390,52644
Howard County,36.00548963,0.497457011,397,44492
Independence County,22.19324553,0.436562785,401,56009
Izard County,40.1651389,0.472255266,384,47728
Jackson County,20.39225094,0.426198045,375,41215
Jefferson County,5.88955899,0.482315618,405,48552
Johnson County,21.12945132,0.440279688,364,44808
Lafayette County,31.9201995,0.655029094,355,37237
Lawrence County,23.85771236,0.465194726,370,44164
Lee County,27.27048371,0.45742843,427,36860
Lincoln County,22.30338825,0.341778054,422,51667
Little River County,31.05109238,0.522191639,382,52241
Logan County,44.22799087,0.454956424,367,54237
Lonoke County,8.679260103,0.400136145,433,71449
Madison County,56.64707529,0.43095438,366,53888
Marion County,27.34041949,0.546978912,366,46953
Miller County,8.58000858,0.472138805,406,49983
Mississippi County,7.035043969,0.502060638,414,53428
Monroe County,25.40919719,0.599064692,388,43955
Montgomery County,43.24324324,0.642655699,340,49015
Nevada County,40.60469765,0.53948026,389,41761
Newton County,64.61713635,0.584543126,362,47395
Ouachita County,7.148127652,0.547408227,372,49838
Perry County,33.0699444,0.483074822,351,60078
Phillips County,16.36996112,0.571993725,436,38874
Pike County,34.90575446,0.530467737,384,51000
Poinsett County,12.95964126,0.467174888,387,47188
Polk County,32.0057631,0.496398065,358,49252
Pope County,12.61780993,0.41698931,371,54606
Prairie County,44.9905482,0.515816005,389,51094
Pulaski County,0.992001675,0.478765431,489,60385
Randolph County,35.34663866,0.452731092,400,52838
St. Francis County,9.669141234,0.439143983,418,41784
Saline County,2.895193978,0.399750099,455,76534
Scott County,49.60862051,0.495374606,355,45955
Searcy County,71.72026544,0.602475753,361,41978
Sebastian County,4.829468989,0.4398585,441,56450
Sevier County,26.50142993,0.430123928,354,51641
Sharp County,28.95752896,0.524820739,369,42950
Stone County,34.88463043,0.533437622,341,38531
Union County,6.349978383,0.504296368,413,50221
Van Buren County,35.22783556,0.602030708,372,47266
Washington County,7.885522796,0.387604063,476,66426
White County,19.62296595,0.425105258,388,53435
Woodruff County,28.40909091,0.563360882,385,49982
Yell County,35.51206914,0.461905235,382,58870
Alameda County,0.240743211,0.382476077,948,126240
Alpine County,3.639672429,1.444040036,650,110781
Amador County,10.5886832,0.450173702,734,81526
Butte County,8.001574395,0.4376434,657,68574
Calaveras County,12.9663477,0.593033007,777,79877
Colusa County,32.39104829,0.369529764,582,75149
Contra Costa County,0.345384259,0.363791961,955,125727
Del Norte County,1.999333555,0.413047503,515,66780
El Dorado County,6.244068394,0.488831727,866,106190
Fresno County,4.322714512,0.33394654,630,71434
Glenn County,38.29847371,0.38768372,575,70487
Humboldt County,5.446442061,0.47306995,623,61135
Imperial County,2.65237393,0.316474434,544,56393
Inyo County,3.408168786,0.513930214,592,72432
Kern County,1.833004708,0.330050329,599,67660
Kings County,5.564413574,0.301427253,574,68750
Lake County,8.573874033,0.505740511,637,58738
Lassen County,14.78475653,0.43161609,525,64395
Los Angeles County,0.078506298,0.371427438,803,87760
Madera County,7.586198559,0.304463465,617,75496
Marin County,0.994539782,0.436271451,1254,142785
Mariposa County,22.75926795,0.574612858,487,65378
Mendocino County,10.93355761,0.465320998,725,64688
Merced County,6.897504498,0.301946936,586,65044
Modoc County,50.17076905,0.562242374,463,56648
Mono County,4.695558464,1.049341852,688,86953
Monterey County,2.422917082,0.331595801,759,94486
Napa County,13.35071236,0.418912505,876,108970
Nevada County,6.066833015,0.528215666,900,84905
Orange County,0.049835433,0.359090472,857,113702
Placer County,2.519466509,0.406233432,876,114678
Plumas County,8.548369969,0.798396517,590,64946
Riverside County,0.95812814,0.339946552,730,89672
Sacramento County,0.6938794,0.368423895,696,88724
San Benito County,7.793634957,0.302737171,806,108289
San Bernardino County,0.365355617,0.333532646,628,82184
San Diego County,1.221959871,0.376078385,826,102285
San Francisco County,0.008458949,0.497316096,947,141446
San Joaquin County,4.213903062,0.314696094,694,88531
San Luis Obispo County,7.748995008,0.443051628,794,93398
San Mateo County,0.336522218,0.384386446,1062,156000
Santa Barbara County,3.057367829,0.359428571,779,95977
Santa Clara County,0.428276641,0.360379998,1083,159674
Santa Cruz County,2.339885521,0.406374092,902,109266
Shasta County,6.183711442,0.440302339,667,71931
Sierra County,15.7404433,0.674269194,665,60000
Siskiyou County,15.41249,0.542754953,524,55499
Solano County,1.564487883,0.359162032,700,99994
Sonoma County,6.380633531,0.425071337,874,102840
Stanislaus County,6.203184361,0.330788621,669,79661
Sutter County,9.031406971,0.35193059,677,75450
Tehama County,17.90507517,0.425998045,542,61834
Trinity County,8.886331671,0.519243064,465,53498
Tulare County,7.678690342,0.315465333,545,69489
Tuolumne County,6.049023064,0.584324495,815,72259
Ventura County,2.168950728,0.352695089,796,107327
Yolo County,3.529396096,0.362009492,769,88818
Yuba County,8.688792601,0.343996159,609,73313
Adams County,1.615181602,0.353175941,651,91387
Alamosa County,15.69896339,0.42830607,405,51445
Arapahoe County,0.910156871,0.398819645,693,97215
Archuleta County,28.06122449,0.688066893,549,76524
Baca County,206.7122067,0.58984259,484,40380
Bent County,35.99238623,0.374286209,486,49194
Boulder County,2.501044625,0.432411237,788,102772
Broomfield County,0.191514625,0.411896889,738,121025
Chaffee County,13.13763234,0.544513956,497,70909
Cheyenne County,221.3785047,0.563668224,431,67768
Clear Creek County,2.42397532,0.635522257,674,96667
Conejos County,56.03391178,0.537554643,361,47209
Costilla County,43.13619099,0.655995659,323,36519
Crowley County,33.03571429,0.274107143,408,47563
Custer County,49.34269764,0.783180263,535,72700
Delta County,46.90361633,0.463479745,444,58330
Denver County,0.032920953,0.483654061,655,91681
Dolores County,107.0125659,0.66477503,401,70490
Douglas County,2.860442391,0.356710111,808,145737
Eagle County,3.883673845,0.615773974,796,103174
Elbert County,58.33503506,0.346913076,679,129477
El Paso County,1.603407141,0.394213653,588,87470
Fremont County,13.59471383,0.408220709,446,61027
Garfield County,9.514461665,0.390077097,611,86172
Gilpin County,6.372631226,0.621499245,435,88654
Grand County,16.52841402,1.054661384,613,84558
Gunnison County,19.23743501,0.713344887,566,77358
Hinsdale County,24.09638554,1.852744311,459,64327
Huerfano County,56.23926732,0.679736691,488,52139
Jackson County,87.9811469,0.907305577,426,41809
Jefferson County,0.91783874,0.434172294,685,107800
Kiowa County,324.7126437,0.505747126,463,56389
Kit Carson County,78.95480226,0.483898305,535,59810
Lake County,4.478219568,0.547292713,503,93655
La Plata County,19.90391215,0.503546099,517,85296
Larimer County,4.324913101,0.432176286,636,91364
Las Animas County,33.40680535,0.56027001,410,50408
Lincoln County,90.21078957,0.426045016,471,54257
Logan County,43.41122621,0.419609733,515,55074
Mesa County,14.59134317,0.427018479,433,71485
Mineral County,39.65702036,1.340836013,545,52455
Moffat County,35.07837468,0.465225993,478,70975
Montezuma County,37.88979546,0.458775754,379,63005
Montrose County,23.43436147,0.433624961,454,66072
Morgan County,21.55115512,0.385148515,557,75407
Otero County,22.06658885,0.484964705,439,54897
Ouray County,22.32056956,0.666923225,581,84556
Park County,15.5055689,0.784123171,523,95450
Phillips County,78.43137255,0.464572193,565,60372
Pitkin County,6.969897254,0.802139037,1104,100318
Prowers County,34.12227147,0.457138078,490,57601
Pueblo County,4.462340904,0.429933006,503,62250
Rio Blanco County,48.58483427,0.497654003,370,72620
Rio Grande County,28.56629536,0.590549766,436,62166
Routt County,36.36651745,0.670007527,735,104803
Saguache County,42.12893553,0.575412294,392,54283
San Juan County,1.218026797,0.876979294,561,73889
San Miguel County,15.3472311,0.844865072,597,80117
Sedgwick County,83.73947718,0.524590164,468,52833
Summit County,1.910498025,1.031312739,858,106255
Teller County,4.504866865,0.543640898,534,80666
Washington County,148.6061622,0.477887235,476,65164
Weld County,10.49642321,0.338160083,601,93287
Yuma County,82.20541401,0.430334395,494,60051
Fairfield County,0.352168441,0.393062698,1200,101194
Hartford County,0.823991419,0.428464388,906,80320
Litchfield County,5.432432432,0.473837838,878,84797
Middlesex County,2.269982216,0.463021747,872,90833
New Haven County,0.736366794,0.426907491,940,75043
New London County,2.991015792,0.456330797,821,79040
Tolland County,3.293566567,0.403465231,860,88525
Windham County,5.729354567,0.425630057,705,71418
Kent County,3.996055841,0.389210649,478,72872
New Castle County,0.569637795,0.399693586,586,89901
Sussex County,3.883688508,0.545501486,509,78162
Alachua County,5.86739415,0.430807932,579,59659
Baker County,11.25319693,0.341449275,391,70833
Bay County,0.695981334,0.531794831,520,70188
Bradford County,14.88869101,0.385609973,361,59740
Brevard County,0.886935471,0.447205318,566,75817
Broward County,0.322949223,0.423626926,788,74534
Calhoun County,14.91188432,0.426494954,339,46901
Charlotte County,1.239852538,0.541296989,630,66154
Citrus County,3.537555678,0.490186515,424,55355
Clay County,1.376921777,0.368157628,507,86094
Collier County,0.792825172,0.563943753,916,86173
Columbia County,11.71985888,0.406423618,377,55070
DeSoto County,18.75136077,0.427634444,428,50868
Dixie County,8.743045305,0.531679346,340,47655
Duval County,0.297585482,0.422633935,549,68447
Escambia County,1.554599653,0.445786733,502,65715
Flagler County,0.650851226,0.427952963,589,72923
Franklin County,2.465521227,0.653054935,555,62734
Gadsden County,11.07562683,0.432606283,402,46047
Gilchrist County,27.13389018,0.380418129,375,61070
Glades County,22.54035943,0.503502894,382,38905
Gulf County,2.519526329,0.575837743,514,67361
Hamilton County,19.18515418,0.393330543,318,47696
Hardee County,35.29231241,0.379162191,408,54231
Hendry County,8.497723824,0.33902016,430,53044
Hernando County,3.488425395,0.417102911,443,63193
Highlands County,7.6153692,0.529122411,439,55581
Hillsborough County,1.259622644,0.390925658,605,75011
Holmes County,31.64620648,0.434795734,313,48236
Indian River County,2.858155328,0.494327259,640,71049
Jackson County,18.84753902,0.401380552,365,47327
Jefferson County,37.49764462,0.428051002,445,56984
Lafayette County,28.93518519,0.38587963,350,60692
Lake County,3.532160899,0.411220971,541,69956
Lee County,0.944295838,0.499725306,706,73099
Leon County,1.237986209,0.452284284,560,65074
Levy County,20.78928085,0.443776824,360,53805
Liberty County,14.45631678,0.403394092,333,53824
Madison County,35.12306687,0.45698105,363,48176
Manatee County,1.509756694,0.468002758,650,75792
Marion County,7.761625535,0.427724088,468,58535
Martin County,3.549310058,0.496764575,731,80701
Miami-Dade County,0.938536763,0.382395249,771,68694
Monroe County,0.482028971,0.672591091,835,82430
Nassau County,3.3149383,0.417385223,576,88900
Okaloosa County,2.013760698,0.464775062,594,79097
Okeechobee County,12.62715665,0.437395265,426,52288
Orange County,0.391224572,0.375869008,664,77011
Osceola County,0.754180038,0.350800542,592,68711
Palm Beach County,0.86469813,0.45122009,869,81115
Pasco County,1.805453988,0.402233908,499,67384
Pinellas County,0.119063642,0.536490418,685,70293
Polk County,2.575983904,0.386632086,511,63644
Putnam County,6.972742914,0.473654933,335,47256
St. Johns County,0.665814742,0.379615917,674,106169
St. Lucie County,1.034120869,0.396575115,631,69027
Santa Rosa County,3.525111604,0.376950971,543,88968
Sarasota County,0.600078891,0.546096969,721,80633
Seminole County,0.646980924,0.398635275,641,83030
Sumter County,7.220753363,0.519551628,575,73297
Suwannee County,24.61292494,0.401022383,373,55479
Taylor County,9.705626517,0.511697111,328,44985
Union County,20.90481637,0.303215148,316,64922
Volusia County,2.279468854,0.460955386,591,66581
Wakulla County,6.870537519,0.382163546,457,74183
Walton County,7.750986996,0.656815292,468,79281
Washington County,15.09263102,0.413613553,371,52723
Appling County,26.51454283,0.456692913,343,43728
Atkinson County,21.93242442,0.416004742,375,38438
Bacon County,28.24807605,0.437301947,406,50310
Baker County,38.79941435,0.519399707,398,44405
Baldwin County,2.589130236,0.462377417,510,55413
Banks County,22.1478492,0.362880205,436,68830
Barrow County,2.658524934,0.325025443,496,77477
Bartow County,3.889096913,0.373395854,514,79431
Ben Hill County,9.855414577,0.48008262,381,39081
Berrien County,19.39354977,0.432069002,335,50414
Bibb County,0.604879788,0.45760111,487,50747
Bleckley County,11.95944876,0.414620624,388,53005
Brantley County,11.01356744,0.438254855,416,47801
Brooks County,23.98433676,0.449216838,459,47656
Bryan County,1.741512572,0.339007925,510,94234
Bulloch County,5.792590165,0.393275915,439,56832
Burke County,16.46779993,0.457706767,395,50739
Butts County,6.119364471,0.355365503,472,59221
Calhoun County,26.46572321,0.373644551,419,55714
Camden County,1.167532446,0.392426268,483,72399
Candler County,27.04402516,0.418059299,433,50431
Carroll County,6.204247523,0.363094734,468,72327
Catoosa County,3.089643168,0.410139252,405,72425
Charlton County,6.527916443,0.361569772,415,48534
Chatham County,0.133404482,0.442457115,603,69575
Chattahoochee County,0.467945718,0.339494619,446,59221
Chattooga County,10.86698807,0.430056113,371,47785
Cherokee County,1.284440553,0.354066089,572,105442
Clarke County,0.553867456,0.437809147,571,52267
Clay County,25.93250444,0.687744227,557,48715
Clayton County,0.077258207,0.385679687,507,58507
Clinch County,22.99519721,0.441129384,380,55549
Cobb County,0.11681976,0.395607577,565,98712
Coffee County,12.3372329,0.397391166,392,50175
Colquitt County,9.132128488,0.410583903,411,49691
Columbia County,1.355450463,0.360728958,554,96122
Cook County,11.67704626,0.411421263,424,50133
Coweta County,2.04761333,0.367723547,561,94142
Crawford County,14.57607903,0.422301401,427,60905
Crisp County,9.04047668,0.508629546,463,42745
Dade County,11.20238984,0.461351755,450,58936
Dawson County,5.037335546,0.371310892,496,88986
Decatur County,11.09183083,0.445918819,469,50485
DeKalb County,0.019472756,0.426601342,677,77683
Dodge County,20.12226184,0.437289862,437,50152
Dooly County,25.29948149,0.428750223,482,56545
Dougherty County,1.213327186,0.492986969,511,46784
Douglas County,0.487204303,0.363480746,492,80764
Early County,27.57564152,0.47232861,456,53750
Echols County,25.95997837,0.398593835,433,61723
Effingham County,3.048613769,0.345272598,526,85465
Elbert County,21.04009528,0.464966256,430,49727
Emanuel County,17.39579745,0.430158457,391,50053
Evans County,15.36479897,0.430214371,444,53908
Fannin County,7.542353214,0.701168098,447,58073
Fayette County,0.959178943,0.366853973,626,108986
Floyd County,4.58625111,0.402041621,510,62540
Forsyth County,0.935393579,0.323235605,635,138000
Franklin County,26.53919391,0.427126309,429,52264
Fulton County,0.153161267,0.458937189,791,91490
Gilmer County,7.921505086,0.544873526,409,72542
Glascock County,21.27659574,0.469414894,374,55250
Glynn County,0.739542408,0.49604807,483,68546
Gordon County,9.742450424,0.381963301,458,61997
Grady County,15.5304328,0.441589585,495,54312
Greene County,10.5258167,0.497984922,607,84530
Gwinnett County,0.116549072,0.334782726,633,84823
Habersham County,7.550588946,0.378012685,440,65622
Hall County,2.58855893,0.357315836,527,77430
Hancock County,15.77795693,0.569503628,380,33182
Haralson County,9.350697445,0.388007653,518,65016
Harris County,6.146930597,0.39280782,568,89184
Hart County,19.49950093,0.464102381,393,57241
Heard County,14.85271062,0.395824738,441,62907
Henry County,0.825251142,0.344295548,554,81612
Houston County,1.72673059,0.390721396,460,80743
Irwin County,31.23975969,0.457127253,432,53915
Jackson County,6.778577138,0.313232081,543,85012
Jasper County,17.01608688,0.374702364,480,59574
Jeff Davis County,12.89767842,0.421919439,381,40879
Jefferson County,20.57393968,0.477062388,444,46561
Jenkins County,24.21910367,0.50101856,339,36906
Johnson County,27.5659185,0.389082589,431,54183
Jones County,6.713257824,0.40482666,459,68259
Lamar County,8.458192363,0.3739971,523,68457
Lanier County,12.71024465,0.395068807,435,44361
Laurens County,13.4030664,0.437647901,408,49705
Lee County,5.282775218,0.377483638,518,88024
Liberty County,0.772515924,0.396869124,474,59013
Lincoln County,16.15107467,0.557460554,491,50688
Long County,4.599050834,0.32315671,440,64747
Lowndes County,3.186382923,0.41220655,452,55887
Lumpkin County,7.219013772,0.369974456,441,72388
McDuffie County,11.16522698,0.43493843,433,54058
McIntosh County,4.406779661,0.575932203,454,50348
Macon County,22.8214014,0.435128053,398,37177
Madison County,21.57395258,0.377498398,446,58784
Marion County,26.06417813,0.4637852,439,50484
Meriwether County,14.36634171,0.449741126,488,56458
Miller County,30.73489011,0.489526099,423,58407
Mitchell County,18.05302769,0.444783314,399,51908
Monroe County,6.298310908,0.361166778,472,82863
Montgomery County,17.74457156,0.440812515,392,51188
Morgan County,24.47584321,0.396490428,581,85692
Murray County,6.680220738,0.391204376,385,67880
Muscogee County,0.094138632,0.452301442,455,56622
Newton County,2.209499234,0.345423756,493,73732
Oconee County,6.524993855,0.343768854,679,115925
Oglethorpe County,27.08384863,0.398837497,452,69784
Paulding County,1.166805446,0.326196373,500,94557
Peach County,6.230103036,0.414678397,516,68365
Pickens County,6.014215418,0.416757791,536,75293
Pierce County,16.69166384,0.409260245,388,56691
Pike County,12.57922493,0.351347429,570,84184
Polk County,6.702533064,0.387827841,479,55308
Pulaski County,15.02946955,0.416502947,453,47688
Putnam County,6.885344053,0.570542702,475,64163
Quitman County,11.19242359,0.738269479,543,36838
Rabun County,6.888374457,0.685562645,472,61466
Randolph County,27.60887428,0.587181594,431,25425
Richmond County,0.596210428,0.449106411,480,53197
Rockdale County,0.727384489,0.366991087,510,72349
Schley County,22.42949145,0.440817233,564,59647
Screven County,22.7574171,0.456893543,474,53017
Seminole County,10.24369204,0.545719215,451,49559
Spalding County,3.01599044,0.403146873,509,60217
Stephens County,5.927703833,0.448905375,463,52264
Stewart County,15.38781451,0.439384487,453,35000
Sumter County,12.87449952,0.465932625,447,41877
Talbot County,18.41876629,0.533275413,488,45098
Taliaferro County,37.03703704,0.607407407,433,48036
Tattnall County,21.17404737,0.386323378,387,52351
Taylor County,27.11036875,0.505203649,515,41743
Telfair County,16.45454545,0.432363636,375,44948
Terrell County,31.27155668,0.487583352,517,43812
Thomas County,7.947192426,0.455052764,486,60140
Tift County,6.689364151,0.421118251,418,53165
Toombs County,10.76833527,0.439500873,378,54130
Towns County,7.8125,0.661331917,469,58400
Treutlen County,23.67601246,0.413084112,418,43750
Troup County,3.509851356,0.40908646,540,54905
Turner County,20.17067494,0.434556134,402,39565
Twiggs County,11.25776398,0.524456522,405,55439
Union County,8.985181696,0.541719503,463,65697
Upson County,7.61689823,0.436314268,454,50904
Walker County,8.032881454,0.42474762,434,55887
Walton County,3.697901486,0.333476027,497,82381
Ware County,6.929490365,0.439677544,383,44833
Warren County,20.3962704,0.4996115,416,46776
Washington County,18.30190582,0.438439044,493,44009
Wayne County,8.465081539,0.391821237,369,49562
Webster County,40.17278618,0.50237581,387,40764
Wheeler County,17.94799322,0.34397965,340,45262
White County,10.24673048,0.465889174,434,69747
Whitfield County,2.712477396,0.375502046,429,64262
Wilcox County,23.69721473,0.388252471,379,48036
Wilkes County,25.92244173,0.544580328,483,52542
Wilkinson County,15.92246452,0.495904004,432,46673
Worth County,18.35949067,0.458789853,473,57201
Hawaii County,17.34115067,0.427980361,450,77215
Honolulu County,1.003257081,0.372796114,743,104264
Kauai County,7.096424702,0.411592633,604,93612
Maui County,8.583402571,0.441712282,557,95076
Ada County,2.131396289,0.382733077,528,88907
Adams County,45.81832733,0.533413365,379,59286
Bannock County,11.04274256,0.392077794,462,64080
Bear Lake County,52.07257708,0.581649211,357,67304
Benewah County,22.79418748,0.446956026,408,56553
Bingham County,21.2423117,0.33932677,416,76842
Blaine County,8.036103084,0.624242904,713,84470
Boise County,12.58594569,0.651672299,537,77349
Bonner County,14.79010286,0.49342971,464,65168
Bonneville County,6.681931101,0.347378109,460,76646
Boundary County,22.72079772,0.394230769,400,62438
Butte County,53.74771481,0.466179159,349,43281
Camas County,89.01363272,0.556535686,392,55536
Canyon County,8.658933201,0.320665288,447,72355
Caribou County,55.11811024,0.433347147,423,66653
Cassia County,21.32737912,0.346165691,398,67042
Clark County,84.38287154,0.556675063,383,52083
Clearwater County,29.83280516,0.503005136,467,57961
Custer County,51.12029585,0.688274962,417,56957
Elmore County,9.552961755,0.409297319,408,58976
Franklin County,46.48932089,0.32753549,452,65991
Fremont County,37.84985068,0.602055698,458,72767
Gem County,32.84988791,0.356316054,374,66245
Gooding County,30.8233986,0.376799061,390,62395
Idaho County,38.85663243,0.495812863,359,60975
Jefferson County,19.4812647,0.30122798,438,82952
Jerome County,17.19373657,0.334855695,472,69338
Kootenai County,5.140105032,0.414251047,524,77034
Latah County,23.44713134,0.413205311,544,65179
Lemhi County,36.44158628,0.552101941,359,52057
Lewis County,58.74463519,0.489002146,391,49643
Lincoln County,41.21670266,0.355111591,407,66038
Madison County,6.444760482,0.265873373,516,58259
Minidoka County,20.00793266,0.373628311,407,70060
Nez Perce County,9.685625598,0.431675497,530,71466
Oneida County,89.63022508,0.414389068,385,72563
Owyhee County,36.1625353,0.376764983,399,59773
Payette County,20.75048803,0.359699226,412,65723
Power County,32.93163107,0.353179811,471,59760
Shoshone County,3.126332244,0.499928947,421,49975
Teton County,20.72378596,0.479353542,615,90740
Twin Falls County,12.11285994,0.370421411,466,65338
Valley County,11.11371997,0.986225248,606,76125
Washington County,42.89799809,0.397434786,351,53608
Adams County,20.44954687,0.472367374,544,64962
Alexander County,31.56290814,0.645189377,430,43523
Bond County,37.52413127,0.415781853,571,61603
Boone County,7.802974884,0.379607225,728,81638
Brown County,71.19074045,0.368003805,621,72288
Bureau County,35.03047467,0.481622853,583,65894
Calhoun County,109.375,0.544034091,671,92095
Carroll County,43.05879306,0.53030303,563,60871
Cass County,31.0705577,0.445606859,556,64907
Champaign County,6.262536845,0.444268131,709,63091
Christian County,23.09982856,0.456883328,535,59253
Clark County,47.89068718,0.486402229,549,70625
Clay County,52.33601123,0.479447781,466,57266
Clinton County,23.43139105,0.422708766,629,82314
Coles County,14.49712427,0.489347953,540,56040
Cook County,0.029714717,0.438069994,885,81797
Crawford County,33.01065913,0.460137046,464,67614
Cumberland County,66.56962639,0.458030082,540,69826
DeKalb County,7.963684808,0.40952287,845,69022
De Witt County,28.46138782,0.477315752,496,64802
Douglas County,28.29903148,0.428369653,535,74186
DuPage County,0.064024449,0.390654778,1025,110502
Edgar County,41.59043786,0.502256373,466,56909
Edwards County,52.30614973,0.508856952,463,59386
Effingham County,35.37367782,0.443211375,583,75380
Fayette County,53.0320934,0.418254006,475,57113
Ford County,40.44308973,0.465615939,562,60782
Franklin County,15.36467475,0.498690357,453,53471
Fulton County,35.58904952,0.488557367,537,58617
Gallatin County,34.54157783,0.534328358,432,54626
Greene County,62.10037663,0.508101953,495,60976
Grundy County,8.117395746,0.396099192,734,93060
Hamilton County,68.30391404,0.487209005,511,61520
Hancock County,63.49952963,0.526752117,489,65044
